keyword,tech_1,tech_1_confidence,tech_2,tech_2_confidence,notes
detected,Indicator Removal from Tools,0.5,Clear Mailbox Data,0.17,Downgrade Attack (confidence: 0.17); Pre-OS Boot (confidence: 0.17)
buffer,ListPlanting,0.33,Keylogging,0.33,Application Shimming (confidence: 0.33)
download,Spearphishing Link,0.08,Deploy Container,0.08,HTML Smuggling (confidence: 0.08); Installer Packages (confidence: 0.04); Exploitation for Privilege Escalation (confidence: 0.04); Ingress Tool Transfer (confidence: 0.04); Exploitation for Client Execution (confidence: 0.04); BITS Jobs (confidence: 0.04); Template Injection (confidence: 0.04); Gatekeeper Bypass (confidence: 0.04); Archive via Utility (confidence: 0.04); Phishing (confidence: 0.04); PowerShell (confidence: 0.04); Python (confidence: 0.04); Malicious Link (confidence: 0.04); Obtain Capabilities (confidence: 0.04); Malware (confidence: 0.04); Tool (confidence: 0.04); Exploits (confidence: 0.04); Upload Tool (confidence: 0.04); Malicious Image (confidence: 0.04); Exfiltration Over Alternative Protocol (confidence: 0.04)
Flash,Exploitation for Client Execution,0.67,Malware,0.33,
attachment,Spearphishing Attachment,0.6,Forced Authentication,0.2,Double File Extension (confidence: 0.1); Spearphishing Attachment (confidence: 0.1)
malicious,Template Injection,0.02,MMC,0.02,Services Registry Permissions Weakness (confidence: 0.01); Malvertising (confidence: 0.01); VBA Stomping (confidence: 0.01); Process Doppelgänging (confidence: 0.01); Asynchronous Procedure Call (confidence: 0.01); KernelCallbackTable (confidence: 0.01); Network Provider DLL (confidence: 0.01); Dynamic Linker Hijacking (confidence: 0.01); DLL Search Order Hijacking (confidence: 0.01); Spearphishing Link (confidence: 0.01); Unix Shell Configuration Modification (confidence: 0.01); Rundll32 (confidence: 0.01); IIS Components (confidence: 0.01); Windows Service (confidence: 0.01); DHCP Spoofing (confidence: 0.01); Masquerade File Type (confidence: 0.01); Browser Extensions (confidence: 0.01); Traffic Signaling (confidence: 0.01); Installer Packages (confidence: 0.01); Malicious Image (confidence: 0.01); Taint Shared Content (confidence: 0.01); Verclsid (confidence: 0.01); Embedded Payloads (confidence: 0.01); Phishing (confidence: 0.01); Password Filter DLL (confidence: 0.01); Elevated Execution with Prompt (confidence: 0.01); CMSTP (confidence: 0.01); Multi-hop Proxy (confidence: 0.01); Drive-by Target (confidence: 0.01); Dylib Hijacking (confidence: 0.01); Drive-by Compromise (confidence: 0.01); Transport Agent (confidence: 0.01); HTML Smuggling (confidence: 0.01); XPC Services (confidence: 0.01); Supply Chain Compromise (confidence: 0.01); User Execution (confidence: 0.01); Proc Memory (confidence: 0.01); Malicious File (confidence: 0.01); Impair Defenses (confidence: 0.01); System Firmware (confidence: 0.01); Visual Basic (confidence: 0.01); Outlook Home Page (confidence: 0.01); Service Execution (confidence: 0.01); Services File Permissions Weakness (confidence: 0.01); Hijack Execution Flow (confidence: 0.01); Login Hook (confidence: 0.01); Executable Installer File Permissions Weakness (confidence: 0.01); Trusted Developer Utilities Proxy Execution (confidence: 0.01); Path Interception by Search Order Hijacking (confidence: 0.01); Network Denial of Service (confidence: 0.01); DLL Side-Loading (confidence: 0.01); Domain Policy Modification (confidence: 0.01); NTFS File Attributes (confidence: 0.01); Parent PID Spoofing (confidence: 0.01); Application Access Token (confidence: 0.01); SIP and Trust Provider Hijacking (confidence: 0.01); PubPrn (confidence: 0.01); Extra Window Memory Injection (confidence: 0.01); System Binary Proxy Execution (confidence: 0.01); Thread Local Storage (confidence: 0.01); Process Hollowing (confidence: 0.01); Launch Daemon (confidence: 0.01); Event Triggered Execution (confidence: 0.01); Control Panel (confidence: 0.01); Screensaver (confidence: 0.01); Windows Management Instrumentation Event Subscription (confidence: 0.01); Thread Execution Hijacking (confidence: 0.01); LC_LOAD_DYLIB Addition (confidence: 0.01); AppCert DLLs (confidence: 0.01); AppInit DLLs (confidence: 0.01); Application Shimming (confidence: 0.01); Image File Execution Options Injection (confidence: 0.01); Winlogon Helper DLL (confidence: 0.01); VDSO Hijacking (confidence: 0.01); System Script Proxy Execution (confidence: 0.01); Install Root Certificate (confidence: 0.01); Upload Malware (confidence: 0.01); Patch System Image (confidence: 0.01); Resource Forking (confidence: 0.01); Login Items (confidence: 0.01); Mavinject (confidence: 0.01); Spearphishing Link (confidence: 0.01); Print Processors (confidence: 0.01); Process Argument Spoofing (confidence: 0.01); Build Image on Host (confidence: 0.01); Cloud API (confidence: 0.01); Plist File Modification (confidence: 0.01); Systemd Timers (confidence: 0.01); Container Orchestration Job (confidence: 0.01); Run Virtual Instance (confidence: 0.01); Deploy Container (confidence: 0.01); Domains (confidence: 0.01); Hidden File System (confidence: 0.01); Hybrid Identity (confidence: 0.01); TFTP Boot (confidence: 0.01); Network Device CLI (confidence: 0.01); Group Policy Modification (confidence: 0.01); Component Object Model Hijacking (confidence: 0.01); Dynamic API Resolution (confidence: 0.01); Spoof Security Alerting (confidence: 0.01); Create or Modify System Process (confidence: 0.0); Systemd Service (confidence: 0.0); Cron (confidence: 0.0); SQL Stored Procedures (confidence: 0.0); Downgrade Attack (confidence: 0.0); Component Firmware (confidence: 0.0); Reflective Code Loading (confidence: 0.0); RC Scripts (confidence: 0.0); Dynamic-link Library Injection (confidence: 0.0); Launch Agent (confidence: 0.0); Safe Mode Boot (confidence: 0.0); Upload Tool (confidence: 0.0); Ptrace System Calls (confidence: 0.0); Escape to Host (confidence: 0.0); Link Target (confidence: 0.0); At (confidence: 0.0); Scheduled Task (confidence: 0.0); Protocol Tunneling (confidence: 0.0); Office Template Macros (confidence: 0.0); Outlook Forms (confidence: 0.0); Masquerading (confidence: 0.0); Windows Management Instrumentation (confidence: 0.0); Scheduled Task/Job (confidence: 0.0); Proxy (confidence: 0.0); Exfiltration to Text Storage Sites (confidence: 0.0); Shared Modules (confidence: 0.0); Deobfuscate/Decode Files or Information (confidence: 0.0); SEO Poisoning (confidence: 0.0); BITS Jobs (confidence: 0.0); Clear Mailbox Data (confidence: 0.0); Clear Network Connection History and Configurations (confidence: 0.0); Serverless Execution (confidence: 0.0); Indirect Command Execution (confidence: 0.0); XSL Script Processing (confidence: 0.0); File and Directory Permissions Modification (confidence: 0.0); ListPlanting (confidence: 0.0); Resource Hijacking (confidence: 0.0); Endpoint Denial of Service (confidence: 0.0); Server Software Component (confidence: 0.0); Implant Internal Image (confidence: 0.0); Steal Application Access Token (confidence: 0.0); Internal Spearphishing (confidence: 0.0); XDG Autostart Entries (confidence: 0.0); Steal Web Session Cookie (confidence: 0.0); Account Access Removal (confidence: 0.0); Mark-of-the-Web Bypass (confidence: 0.0); Outlook Rules (confidence: 0.0); Office Test (confidence: 0.0); Mshta (confidence: 0.0); Additional Cloud Roles (confidence: 0.0); Domain Trust Modification (confidence: 0.0); Credentials (confidence: 0.0); Adversary-in-the-Middle (confidence: 0.0); Tool (confidence: 0.0); Malware (confidence: 0.0); Fileless Storage (confidence: 0.0); Hide Artifacts (confidence: 0.0); Email Accounts (confidence: 0.0); Spearphishing Attachment (confidence: 0.0); DNS Server (confidence: 0.0); Spearphishing via Service (confidence: 0.0); User Activity Based Checks (confidence: 0.0); Python (confidence: 0.0); System Services (confidence: 0.0); Compromise Software Dependencies and Development Tools (confidence: 0.0); Malicious Link (confidence: 0.0); COR_PROFILER (confidence: 0.0); Disable or Modify Cloud Firewall (confidence: 0.0); JavaScript (confidence: 0.0); Revert Cloud Instance (confidence: 0.0); Path Interception by Unquoted Path (confidence: 0.0); Path Interception by PATH Environment Variable (confidence: 0.0); Delete Cloud Instance (confidence: 0.0); Create Cloud Instance (confidence: 0.0); MSBuild (confidence: 0.0); Indicator Removal from Tools (confidence: 0.0); Hidden Window (confidence: 0.0); Indicator Blocking (confidence: 0.0); GUI Input Capture (confidence: 0.0); VNC (confidence: 0.0); Distributed Component Object Model (confidence: 0.0); PowerShell Profile (confidence: 0.0); Active Setup (confidence: 0.0); Compiled HTML File (confidence: 0.0); Regsvr32 (confidence: 0.0); Change Default File Association (confidence: 0.0); Disable Crypto Hardware (confidence: 0.0); Trap (confidence: 0.0); Netsh Helper DLL (confidence: 0.0); Accessibility Features (confidence: 0.0); Msiexec (confidence: 0.0); Disable Cloud Logs (confidence: 0.0); Odbcconf (confidence: 0.0); Spearphishing Attachment (confidence: 0.0); Emond (confidence: 0.0); Compromise Client Software Binary (confidence: 0.0); Time Providers (confidence: 0.0); Phishing for Information (confidence: 0.0); Re-opened Applications (confidence: 0.0); LSASS Driver (confidence: 0.0); Shortcut Modification (confidence: 0.0); Port Monitors (confidence: 0.0); Client Configurations (confidence: 0.0); Software (confidence: 0.0); Hardware (confidence: 0.0); Gatekeeper Bypass (confidence: 0.0); Gather Victim Host Information (confidence: 0.0); Space after Filename (confidence: 0.0); Obfuscated Files or Information (confidence: 0.0)
free,Link Target,0.12,Upload Tool,0.12,Exploits (confidence: 0.12); Digital Certificates (confidence: 0.12); Tool (confidence: 0.12); Malware (confidence: 0.12); Obtain Capabilities (confidence: 0.12); Domains (confidence: 0.12)
use,Traffic Signaling,0.02,Patch System Image,0.01,SMB/Windows Admin Shares (confidence: 0.01); Domains (confidence: 0.01); Execution Guardrails (confidence: 0.01); Access Token Manipulation (confidence: 0.01); Network Sniffing (confidence: 0.01); Environmental Keying (confidence: 0.01); Port Knocking (confidence: 0.01); Automated Collection (confidence: 0.01); Remote Desktop Protocol (confidence: 0.01); Application Access Token (confidence: 0.01); Process Doppelgänging (confidence: 0.01); System Checks (confidence: 0.01); Internal Proxy (confidence: 0.01); Exfiltration Over Asymmetric Encrypted Non-C2 Protocol (confidence: 0.01); At (confidence: 0.01); Search Engines (confidence: 0.01); Login Items (confidence: 0.01); Email Accounts (confidence: 0.01); Archive via Utility (confidence: 0.01); Deobfuscate/Decode Files or Information (confidence: 0.01); Cloud Infrastructure Discovery (confidence: 0.01); VNC (confidence: 0.01); Clear Mailbox Data (confidence: 0.01); ListPlanting (confidence: 0.01); Hidden Users (confidence: 0.01); Virtualization/Sandbox Evasion (confidence: 0.01); Wordlist Scanning (confidence: 0.01); Steal or Forge Kerberos Tickets (confidence: 0.01); Virtual Private Server (confidence: 0.0); Hidden Window (confidence: 0.0); Office Template Macros (confidence: 0.0); Dead Drop Resolver (confidence: 0.0); Bidirectional Communication (confidence: 0.0); One-Way Communication (confidence: 0.0); Asymmetric Cryptography (confidence: 0.0); Unused/Unsupported Cloud Regions (confidence: 0.0); External Proxy (confidence: 0.0); Steal Web Session Cookie (confidence: 0.0); Hidden File System (confidence: 0.0); Virtual Private Server (confidence: 0.0); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.0); XDG Autostart Entries (confidence: 0.0); Firmware Corruption (confidence: 0.0); Local Email Collection (confidence: 0.0); Executable Installer File Permissions Weakness (confidence: 0.0); Services File Permissions Weakness (confidence: 0.0); Web Session Cookie (confidence: 0.0); SSH (confidence: 0.0); Password Cracking (confidence: 0.0); Credential Stuffing (confidence: 0.0); LSASS Memory (confidence: 0.0); Port Monitors (confidence: 0.0); Domain Controller Authentication (confidence: 0.0); LLMNR/NBT-NS Poisoning and SMB Relay (confidence: 0.0); Dynamic Data Exchange (confidence: 0.0); Unix Shell Configuration Modification (confidence: 0.0); Email Forwarding Rule (confidence: 0.0); Registry Run Keys / Startup Folder (confidence: 0.0); Disable Windows Event Logging (confidence: 0.0); InstallUtil (confidence: 0.0); Remote Service Session Hijacking (confidence: 0.0); SSH Hijacking (confidence: 0.0); Additional Cloud Credentials (confidence: 0.0); Windows Service (confidence: 0.0); Spearphishing Link (confidence: 0.0); Time Based Evasion (confidence: 0.0); Exfiltration Over Web Service (confidence: 0.0); PowerShell (confidence: 0.0); Domain Generation Algorithms (confidence: 0.0); Drive-by Compromise (confidence: 0.0); Network Logon Script (confidence: 0.0); DNS Calculation (confidence: 0.0); Logon Script (Windows) (confidence: 0.0); Launchctl (confidence: 0.0); Private Keys (confidence: 0.0); Email Accounts (confidence: 0.0); Forge Web Credentials (confidence: 0.0); ARP Cache Poisoning (confidence: 0.0); Non-Application Layer Protocol (confidence: 0.0); Network Address Translation Traversal (confidence: 0.0); Proxy (confidence: 0.0); Disable Crypto Hardware (confidence: 0.0); Account Discovery (confidence: 0.0); Data from Removable Media (confidence: 0.0); TFTP Boot (confidence: 0.0); Network Device Configuration Dump (confidence: 0.0); Web Cookies (confidence: 0.0); Scan Databases (confidence: 0.0); Taint Shared Content (confidence: 0.0); Cloud API (confidence: 0.0); Software Deployment Tools (confidence: 0.0); Install Digital Certificate (confidence: 0.0); Exploitation for Privilege Escalation (confidence: 0.0); Boot or Logon Initialization Scripts (confidence: 0.0); Downgrade Attack (confidence: 0.0); Network Service Discovery (confidence: 0.0); Windows Management Instrumentation (confidence: 0.0); Web Service (confidence: 0.0); Serverless Execution (confidence: 0.0); Group Policy Discovery (confidence: 0.0); Exploits (confidence: 0.0); Exploits (confidence: 0.0); Socket Filters (confidence: 0.0); Stripped Payloads (confidence: 0.0); Installer Packages (confidence: 0.0); Credentials (confidence: 0.0); Dynamic API Resolution (confidence: 0.0); System Service Discovery (confidence: 0.0); Control Panel (confidence: 0.0); System Owner/User Discovery (confidence: 0.0); Regsvcs/Regasm (confidence: 0.0); Data from Network Shared Drive (confidence: 0.0); Fallback Channels (confidence: 0.0); Pass the Ticket (confidence: 0.0); Mshta (confidence: 0.0); Pass the Hash (confidence: 0.0); File Deletion (confidence: 0.0); Screensaver (confidence: 0.0); Windows Management Instrumentation Event Subscription (confidence: 0.0); Use Alternate Authentication Material (confidence: 0.0); Network Share Connection Removal (confidence: 0.0); Trap (confidence: 0.0); System Network Configuration Discovery (confidence: 0.0); Netsh Helper DLL (confidence: 0.0); Rootkit (confidence: 0.0); Automated Exfiltration (confidence: 0.0); LSASS Driver (confidence: 0.0); Kernel Modules and Extensions (confidence: 0.0); Image File Execution Options Injection (confidence: 0.0); Local Account (confidence: 0.0); Query Registry (confidence: 0.0); Clear Windows Event Logs (confidence: 0.0); Rundll32 (confidence: 0.0); Setuid and Setgid (confidence: 0.0); Bypass User Account Control (confidence: 0.0); Remote Services (confidence: 0.0); Application Shimming (confidence: 0.0); Sudo and Sudo Caching (confidence: 0.0); Authentication Package (confidence: 0.0); Obfuscated Files or Information (confidence: 0.0); Elevated Execution with Prompt (confidence: 0.0); Startup Items (confidence: 0.0); Additional Cloud Roles (confidence: 0.0); Software Discovery (confidence: 0.0); Video Capture (confidence: 0.0); Internal Spearphishing (confidence: 0.0); Shared Modules (confidence: 0.0); Implant Internal Image (confidence: 0.0); Cloud Service Dashboard (confidence: 0.0); Data Encoding (confidence: 0.0); PubPrn (confidence: 0.0); Cloud Service Discovery (confidence: 0.0); External Remote Services (confidence: 0.0); Endpoint Denial of Service (confidence: 0.0); Office Application Startup (confidence: 0.0); Forced Authentication (confidence: 0.0); Network Denial of Service (confidence: 0.0); Browser Session Hijacking (confidence: 0.0); Resource Hijacking (confidence: 0.0); Browser Extensions (confidence: 0.0); System Script Proxy Execution (confidence: 0.0); Remote Access Software (confidence: 0.0); User Execution (confidence: 0.0); System Time Discovery (confidence: 0.0); Multi-Factor Authentication Interception (confidence: 0.0); Additional Email Delegate Permissions (confidence: 0.0); Brute Force (confidence: 0.0); System Network Connections Discovery (confidence: 0.0); Scheduled Task/Job (confidence: 0.0); Input Capture (confidence: 0.0); Systemd Service (confidence: 0.0); Launch Agent (confidence: 0.0); Process Discovery (confidence: 0.0); Indirect Command Execution (confidence: 0.0); RC Scripts (confidence: 0.0); Valid Accounts (confidence: 0.0); Extra Window Memory Injection (confidence: 0.0); System Information Discovery (confidence: 0.0); Login Hook (confidence: 0.0); File and Directory Discovery (confidence: 0.0); Bootkit (confidence: 0.0); Web Shell (confidence: 0.0); Cron (confidence: 0.0); Scheduled Task (confidence: 0.0); Account Access Removal (confidence: 0.0); Ingress Tool Transfer (confidence: 0.0); Data from Cloud Storage (confidence: 0.0); Fileless Storage (confidence: 0.0); Credentials in Registry (confidence: 0.0); Domain Properties (confidence: 0.0); Spearphishing Link (confidence: 0.0); Spearphishing Attachment (confidence: 0.0); Spearphishing Service (confidence: 0.0); Purchase Technical Data (confidence: 0.0); CDNs (confidence: 0.0); Digital Certificates (confidence: 0.0); WHOIS (confidence: 0.0); Vulnerability Scanning (confidence: 0.0); Scanning IP Blocks (confidence: 0.0); Social Media (confidence: 0.0); IP Addresses (confidence: 0.0); DNS (confidence: 0.0); Digital Certificates (confidence: 0.0); MSBuild (confidence: 0.0); Code Signing Certificates (confidence: 0.0); Digital Certificates (confidence: 0.0); Code Signing Certificates (confidence: 0.0); Malware (confidence: 0.0); Social Media Accounts (confidence: 0.0); Social Media Accounts (confidence: 0.0); Web Services (confidence: 0.0); Botnet (confidence: 0.0); Server (confidence: 0.0); Compromise Infrastructure (confidence: 0.0); Acquire Infrastructure (confidence: 0.0); Disable or Modify Cloud Firewall (confidence: 0.0); Systemd Timers (confidence: 0.0); Traffic Duplication (confidence: 0.0); Network Device Authentication (confidence: 0.0); SNMP (MIB Dump) (confidence: 0.0); Masquerade File Type (confidence: 0.0); Exfiltration to Text Storage Sites (confidence: 0.0); Steal or Forge Authentication Certificates (confidence: 0.0); Clear Network Connection History and Configurations (confidence: 0.0); Cloud Accounts (confidence: 0.0); Cloud Accounts (confidence: 0.0); Plist File Modification (confidence: 0.0); Debugger Evasion (confidence: 0.0); DHCP Spoofing (confidence: 0.0); Resource Forking (confidence: 0.0); XPC Services (confidence: 0.0); Cloud Storage Object Discovery (confidence: 0.0); MMC (confidence: 0.0); System Language Discovery (confidence: 0.0); Email Hiding Rules (confidence: 0.0); Code Signing Policy Modification (confidence: 0.0); System Location Discovery (confidence: 0.0); Container API (confidence: 0.0); Container Administration Command (confidence: 0.0); Link Target (confidence: 0.0); Stage Capabilities (confidence: 0.0); Internet Connection Discovery (confidence: 0.0); Active Setup (confidence: 0.0); SAML Tokens (confidence: 0.0); Network Device CLI (confidence: 0.0); SSH Authorized Keys (confidence: 0.0); Indicator Removal from Tools (confidence: 0.0); Linux and Mac File and Directory Permissions Modification (confidence: 0.0); DCSync (confidence: 0.0); Impair Defenses (confidence: 0.0); Archive via Custom Method (confidence: 0.0); Service Exhaustion Flood (confidence: 0.0); Command Obfuscation (confidence: 0.0); SID-History Injection (confidence: 0.0); Parent PID Spoofing (confidence: 0.0); Make and Impersonate Token (confidence: 0.0); Token Impersonation/Theft (confidence: 0.0); Component Object Model (confidence: 0.0); Inter-Process Communication (confidence: 0.0); Credential API Hooking (confidence: 0.0); /etc/passwd and /etc/shadow (confidence: 0.0); Group Policy Preferences (confidence: 0.0); Symmetric Cryptography (confidence: 0.0); Password Spraying (confidence: 0.0); Password Guessing (confidence: 0.0); Windows Remote Management (confidence: 0.0); Distributed Component Object Model (confidence: 0.0); Compromise Client Software Binary (confidence: 0.0); Space after Filename (confidence: 0.0); Match Legitimate Name or Location (confidence: 0.0); Right-to-Left Override (confidence: 0.0); Invalid Code Signature (confidence: 0.0); Subvert Trust Controls (confidence: 0.0); Steganography (confidence: 0.0); Binary Padding (confidence: 0.0); Local Account (confidence: 0.0); Cloud Account (confidence: 0.0); Domain Groups (confidence: 0.0); Security Software Discovery (confidence: 0.0); Encrypted Channel (confidence: 0.0); Dylib Hijacking (confidence: 0.0); Component Object Model Hijacking (confidence: 0.0); Exfiltration Over Unencrypted Non-C2 Protocol (confidence: 0.0); Steganography (confidence: 0.0); Multi-hop Proxy (confidence: 0.0); Cloud Accounts (confidence: 0.0); NTFS File Attributes (confidence: 0.0); Local Accounts (confidence: 0.0); DLL Side-Loading (confidence: 0.0); DLL Search Order Hijacking (confidence: 0.0); Services Registry Permissions Weakness (confidence: 0.0); Hijack Execution Flow (confidence: 0.0); Local Groups (confidence: 0.0); Malicious File (confidence: 0.0); Fast Flux DNS (confidence: 0.0); Dynamic Resolution (confidence: 0.0); Python (confidence: 0.0); Visual Basic (confidence: 0.0); User Activity Based Checks (confidence: 0.0); Reflection Amplification (confidence: 0.0); Spearphishing via Service (confidence: 0.0); Spearphishing Attachment (confidence: 0.0); Hidden Files and Directories (confidence: 0.0); Hide Artifacts (confidence: 0.0); Data from Local System (confidence: 0.0)
execution,Time Based Evasion,0.02,Environmental Keying,0.02,Hijack Execution Flow (confidence: 0.02); Mavinject (confidence: 0.02); Visual Basic (confidence: 0.02); Extra Window Memory Injection (confidence: 0.02); Component Object Model (confidence: 0.02); Execution Guardrails (confidence: 0.02); Inter-Process Communication (confidence: 0.02); Process Doppelgänging (confidence: 0.02); Malicious Link (confidence: 0.02); KernelCallbackTable (confidence: 0.02); Event Triggered Execution (confidence: 0.01); Indirect Command Execution (confidence: 0.01); Dynamic-link Library Injection (confidence: 0.01); Dynamic Linker Hijacking (confidence: 0.01); MSBuild (confidence: 0.01); Rundll32 (confidence: 0.01); Reflective Code Loading (confidence: 0.01); Dynamic Data Exchange (confidence: 0.01); System Binary Proxy Execution (confidence: 0.01); LC_LOAD_DYLIB Addition (confidence: 0.01); Service Execution (confidence: 0.01); PubPrn (confidence: 0.01); CMSTP (confidence: 0.01); Unix Shell (confidence: 0.01); Msiexec (confidence: 0.01); AppleScript (confidence: 0.01); PowerShell (confidence: 0.01); Malicious File (confidence: 0.01); Regsvr32 (confidence: 0.01); VDSO Hijacking (confidence: 0.01); Control Panel (confidence: 0.01); Gatekeeper Bypass (confidence: 0.01); Process Hollowing (confidence: 0.01); Unix Shell Configuration Modification (confidence: 0.01); Netsh Helper DLL (confidence: 0.01); Distributed Component Object Model (confidence: 0.01); Mshta (confidence: 0.01); Compiled HTML File (confidence: 0.01); Compile After Delivery (confidence: 0.01); Malicious Image (confidence: 0.01); XPC Services (confidence: 0.01); Verclsid (confidence: 0.01); Exploitation for Client Execution (confidence: 0.01); Trusted Developer Utilities Proxy Execution (confidence: 0.01); Scheduled Task (confidence: 0.01); Modify Registry (confidence: 0.01); Dylib Hijacking (confidence: 0.01); Cron (confidence: 0.01); Bootkit (confidence: 0.01); Scheduled Task/Job (confidence: 0.01); System Script Proxy Execution (confidence: 0.01); Startup Items (confidence: 0.0); System Time Discovery (confidence: 0.0); Software Deployment Tools (confidence: 0.0); BITS Jobs (confidence: 0.0); Process Injection (confidence: 0.0); Systemd Service (confidence: 0.0); Launch Agent (confidence: 0.0); Drive-by Compromise (confidence: 0.0); Supply Chain Compromise (confidence: 0.0); User Execution (confidence: 0.0); Portable Executable Injection (confidence: 0.0); XSL Script Processing (confidence: 0.0); Outlook Rules (confidence: 0.0); Pre-OS Boot (confidence: 0.0); At (confidence: 0.0); Proc Memory (confidence: 0.0); Ptrace System Calls (confidence: 0.0); Thread Local Storage (confidence: 0.0); Asynchronous Procedure Call (confidence: 0.0); Thread Execution Hijacking (confidence: 0.0); Command Obfuscation (confidence: 0.0); SIP and Trust Provider Hijacking (confidence: 0.0); InstallUtil (confidence: 0.0); JavaScript (confidence: 0.0); Tool (confidence: 0.0); Systemd Timers (confidence: 0.0); Mark-of-the-Web Bypass (confidence: 0.0); Link Target (confidence: 0.0); Container Administration Command (confidence: 0.0); Deploy Container (confidence: 0.0); Container and Resource Discovery (confidence: 0.0); Code Signing Policy Modification (confidence: 0.0); MMC (confidence: 0.0); Resource Forking (confidence: 0.0); Process Argument Spoofing (confidence: 0.0); ListPlanting (confidence: 0.0); Debugger Evasion (confidence: 0.0); Plist File Modification (confidence: 0.0); Serverless Execution (confidence: 0.0); Dynamic API Resolution (confidence: 0.0); Installer Packages (confidence: 0.0); COR_PROFILER (confidence: 0.0); Create Cloud Instance (confidence: 0.0); Regsvcs/Regasm (confidence: 0.0); DLL Side-Loading (confidence: 0.0); Windows Management Instrumentation Event Subscription (confidence: 0.0); Odbcconf (confidence: 0.0); Time Providers (confidence: 0.0); Setuid and Setgid (confidence: 0.0); Subvert Trust Controls (confidence: 0.0); Embedded Payloads (confidence: 0.0); SMB/Windows Admin Shares (confidence: 0.0); Archive via Library (confidence: 0.0); Install Root Certificate (confidence: 0.0); Hide Artifacts (confidence: 0.0); Spearphishing Attachment (confidence: 0.0); Windows Command Shell (confidence: 0.0); Python (confidence: 0.0); System Services (confidence: 0.0); Executable Installer File Permissions Weakness (confidence: 0.0); Services Registry Permissions Weakness (confidence: 0.0); DLL Search Order Hijacking (confidence: 0.0); Remote Services (confidence: 0.0)
corruption,Process Doppelgänging,0.5,Firmware Corruption,0.5,
memory,Proc Memory,0.11,Patch System Image,0.09,Proc Filesystem (confidence: 0.07); Extra Window Memory Injection (confidence: 0.05); Ptrace System Calls (confidence: 0.04); ListPlanting (confidence: 0.04); Process Argument Spoofing (confidence: 0.03); Reflective Code Loading (confidence: 0.03); Password Managers (confidence: 0.03); Process Doppelgänging (confidence: 0.03); LSASS Memory (confidence: 0.03); Dynamic-link Library Injection (confidence: 0.03); Securityd Memory (confidence: 0.03); LSA Secrets (confidence: 0.02); Thread Local Storage (confidence: 0.02); Thread Execution Hijacking (confidence: 0.02); VDSO Hijacking (confidence: 0.02); Portable Executable Injection (confidence: 0.02); Steal Web Session Cookie (confidence: 0.02); Firmware Corruption (confidence: 0.02); Dynamic Linker Hijacking (confidence: 0.02); Code Signing Policy Modification (confidence: 0.02); Hardware Additions (confidence: 0.01); Asynchronous Procedure Call (confidence: 0.01); Native API (confidence: 0.01); Process Injection (confidence: 0.01); KernelCallbackTable (confidence: 0.01); Software Packing (confidence: 0.01); Process Hollowing (confidence: 0.01); Application Shimming (confidence: 0.01); Use Alternate Authentication Material (confidence: 0.01); VNC (confidence: 0.01); Domain Controller Authentication (confidence: 0.01); Credentials from Web Browsers (confidence: 0.01); System Checks (confidence: 0.01); PowerShell (confidence: 0.01); DLL Side-Loading (confidence: 0.01); JavaScript (confidence: 0.01); Modify System Image (confidence: 0.01); Data from Removable Media (confidence: 0.01)
communication,Chat Messages,0.1,Process Injection,0.07,Non-Application Layer Protocol (confidence: 0.07); Exfiltration to Text Storage Sites (confidence: 0.03); Fallback Channels (confidence: 0.03); Multi-Stage Channels (confidence: 0.03); Modify Registry (confidence: 0.03); Forced Authentication (confidence: 0.03); Traffic Signaling (confidence: 0.03); Adversary-in-the-Middle (confidence: 0.03); LLMNR/NBT-NS Poisoning and SMB Relay (confidence: 0.03); Inter-Process Communication (confidence: 0.03); Component Object Model (confidence: 0.03); Dynamic Data Exchange (confidence: 0.03); Exfiltration Over Bluetooth (confidence: 0.03); Exfiltration Over Asymmetric Encrypted Non-C2 Protocol (confidence: 0.03); Encrypted Channel (confidence: 0.03); Symmetric Cryptography (confidence: 0.03); Asymmetric Cryptography (confidence: 0.03); Port Knocking (confidence: 0.03); AS-REP Roasting (confidence: 0.03); ARP Cache Poisoning (confidence: 0.03); Install Digital Certificate (confidence: 0.03); Email Hiding Rules (confidence: 0.03); XPC Services (confidence: 0.03); Data Obfuscation (confidence: 0.03)
